Index,Value
0,28
1,7
2,28
3,93
4,172
5,230
6,250
7,229
8,177
9,98
10,28
11,7
12,28
13,93
14,172
15,230
16,250
17,229
18,177
19,98
20,28
21,7
22,28
23,93
24,172
25,230
26,250
27,230
28,178
29,96
30,30
31,7
32,28
33,93
34,172
35,230
36,250
37,230
38,178
39,93
40,30
41,7
42,28
43,93
44,171
45,227
46,249
47,233
48,178
49,93
50,30
51,7
52,28
53,93
54,170
55,227
56,249
57,233
58,175
59,98
60,27
61,7
62,28
63,93
64,169
65,230
66,250
67,230
68,178
69,93
70,31
71,7
72,28
73,93
74,169
75,229
76,250
77,230
78,178
79,64
80,31
81,7
82,27
83,91
84,169
85,229
86,250
87,230
88,178
89,64
90,31
91,7
92,27
93,90
94,169
95,229
96,250
97,230
98,178
99,64
100,31
101,7
102,27
103,90
104,169
105,229
106,250
107,230
108,178
109,96
110,31
111,7
112,27
113,89
114,170
115,227
116,249
117,234
118,174
119,98
120,28
121,7
122,27
123,89
124,170
125,224
126,249
127,233
128,179
129,96
130,31
131,7
132,27
133,89
134,170
135,224
136,249
137,233
138,179
139,96
140,31
141,7
142,27
143,89
144,170
145,224
146,249
147,233
148,179
149,96
150,31
151,7
152,27
153,88
154,170
155,224
156,249
157,233
158,179
159,96
160,31
161,7
162,27
163,88
164,170
165,224
166,249
167,233
168,179
169,98
170,30
171,7
172,27
173,86
174,169
175,228
176,249
177,234
178,175
179,101
180,32
181,7
182,27
183,86
184,169
185,227
186,249
187,234
188,175
189,101
190,32
191,7
192,27
193,86
194,169
195,227
196,249
197,234
198,175
199,101
200,32
201,7
202,27
203,86
204,169
205,227
206,249
207,234
208,177
209,101
210,32
211,7
212,25
213,89
214,169
215,227
216,249
217,235
218,177
219,101
220,32
221,7
222,25
223,89
224,169
225,227
226,249
227,235
228,177
229,101
230,33
231,7
232,25
233,89
234,169
235,227
236,249
237,235
238,177
239,101
240,33
241,7
242,25
243,89
244,166
245,227
246,249
247,235
248,177
249,101
250,33
251,7
252,25
253,89
254,166
255,227
256,249
257,235
258,178
259,101
260,33
261,7
262,25
263,89
264,166
265,227
266,249
267,235
268,178
269,98
270,30
271,7
272,25
273,88
274,166
275,227
276,249
277,235
278,178
279,98
280,30
281,7
282,25
283,88
284,166
285,227
286,249
287,235
288,178
289,98
290,30
291,7
292,25
293,86
294,166
295,227
296,249
297,235
298,178
299,98
300,30
301,7
302,25
303,86
304,166
305,227
306,249
307,235
308,178
309,98
310,30
311,7
312,25
313,86
314,166
315,227
316,249
317,236
318,181
319,101
320,34
321,7
322,25
323,86
324,166
325,227
326,249
327,236
328,181
329,101
330,34
331,7
332,25
333,86
334,166
335,227
336,249
337,236
338,182
339,102
340,34
341,8
342,25
343,86
344,164
345,227
346,249
347,236
348,182
349,102
350,34
351,8
352,25
353,86
354,164
355,227
356,249
357,236
358,182
359,102
360,34
361,8
362,25
363,86
364,164
365,227
366,249
367,237
368,184
369,102
370,34
371,8
372,25
373,88
374,164
375,226
376,249
377,236
378,184
379,104
380,34
381,8
382,25
383,88
384,164
385,226
386,249
387,237
388,184
389,104
390,34
391,8
392,25
393,86
394,164
395,226
396,249
397,237
398,184
399,104
400,34
401,8
402,25
403,86
404,164
405,226
406,249
407,237
408,184
409,105
410,33
411,7
412,25
413,86
414,164
415,226
416,249
417,237
