Index,Value
0,22
1,38
2,186
3,249
4,164
5,21
6,38
7,186
8,249
9,164
10,21
11,38
12,186
13,249
14,164
15,22
16,38
17,186
18,249
19,164
20,22
21,38
22,186
23,249
24,164
25,22
26,38
27,184
28,250
29,164
30,22
31,38
32,184
33,250
34,164
35,22
36,38
37,184
38,250
39,164
40,22
41,34
42,181
43,249
44,169
45,25
46,34
47,179
48,249
49,169
50,25
51,33
52,182
53,249
54,166
55,25
56,33
57,182
58,249
59,168
60,25
61,32
62,181
63,249
64,170
65,25
66,32
67,179
68,249
69,172
70,27
71,30
72,179
73,249
74,172
75,27
76,30
77,178
78,249
79,173
80,27
81,30
82,178
83,249
84,174
85,28
86,31
87,177
88,250
89,170
90,25
91,30
92,177
93,250
94,170
95,27
96,27
97,174
98,250
99,171
100,27
101,27
102,171
103,249
104,174
105,30
106,30
107,174
108,250
109,172
110,30
111,30
112,174
113,250
114,174
115,31
116,30
117,174
118,250
119,174
120,31
121,28
122,172
123,250
124,174
125,31
126,28
127,172
128,250
129,174
130,32
131,28
132,171
133,249
134,179
135,30
136,27
137,169
138,250
139,175
140,33
141,27
142,164
143,250
144,177
145,33
146,27
147,164
148,250
149,178
150,30
151,25
152,166
153,250
154,178
155,31
156,25
157,166
158,250
159,178
160,31
161,25
162,164
163,250
164,179
165,32
166,25
167,164
168,250
169,179
170,32
171,25
172,164
173,250
174,181
175,34
176,22
177,164
178,250
179,182
180,34
181,21
182,164
183,250
184,182
185,32
186,22
187,164
188,250
189,182
190,34
191,22
192,164
193,249
194,186
195,38
196,22
197,164
198,249
199,186
200,38
201,22
202,164
203,249
204,188
205,38
206,22
207,162
208,249
209,188
210,38
211,22
212,162
213,249
214,188
215,39
216,22
217,160
218,250
219,186
220,38
221,22
222,159
223,250
224,186
225,38
226,21
227,158
228,249
229,188
230,41
231,20
232,158
233,249
234,188
235,41
236,20
237,158
238,249
239,188
240,44
241,19
242,154
243,248
244,191
245,44
246,19
247,153
248,249
249,189
250,44
251,19
252,153
253,249
254,189
255,44
256,19
257,151
258,249
259,191
260,44
261,19
262,151
263,249
264,193
265,44
266,19
267,149
268,249
269,195
270,44
271,19
272,148
273,249
274,195
275,44
276,19
277,148
278,249
279,196
280,46
281,19
282,148
283,249
284,196
285,47
286,19
287,147
288,245
289,197
290,47
291,19
292,147
293,245
294,197
295,48
296,17
297,148
298,249
299,197
300,49
301,17
302,147
303,245
304,197
305,49
306,17
307,147
308,245
309,199
310,50
311,15
312,148
313,249
314,199
315,50
316,15
317,147
318,245
319,201
320,52
321,15
322,147
323,245
324,201
325,52
326,15
327,147
328,245
329,201
330,50
331,15
332,145
333,245
334,201
335,50
336,15
337,145
338,249
339,201
340,52
341,15
342,144
343,249
344,201
345,52
346,15
347,142
348,248
349,203
350,52
351,15
352,142
353,248
354,203
355,53
356,15
357,142
358,248
359,203
360,53
361,15
362,142
363,248
364,203
365,53
366,15
367,141
368,247
369,203
370,54
371,13
372,140
373,247
374,205
375,56
376,13
377,139
378,245
379,205
380,58
381,13
382,139
383,244
384,206
385,59
386,12
387,138
388,245
389,207
390,59
391,12
392,138
393,245
394,207
395,59
396,12
397,137
398,245
399,208
400,60
401,12
402,136
403,245
404,209
405,60
406,12
407,133
408,245
409,209
410,60
411,12
412,133
413,245
414,209
415,60
416,12
417,133
418,245
419,209
420,60
421,12
422,133
423,245
424,209
425,60
426,12
427,130
428,241
429,209
430,63
431,12
432,133
433,242
434,207
435,63
436,12
437,128
438,242
439,209
440,63
441,12
442,128
443,245
444,212
445,63
446,12
447,128
448,245
449,212
450,63
451,12
452,127
453,245
454,212
455,65
456,12
457,125
458,244
459,214
460,65
461,11
462,125
463,244
464,215
465,68
466,11
467,123
468,241
469,212
470,65
471,11
472,123
473,241
474,215
475,68
476,11
477,123
478,241
479,215
480,69
481,11
482,121
483,241
484,215
485,70
486,11
487,121
488,242
489,212
490,68
491,11
492,121
493,242
494,212
495,69
496,11
497,119
498,242
499,214
500,70
501,11
502,119
503,241
504,215
505,72
506,11
507,117
508,241
509,215
510,72
511,11
512,115
513,241
514,218
515,70
516,10
517,115
518,241
519,219
520,70
521,8
522,117
523,241
524,217
525,74
526,8
527,115
528,240
529,219
530,73
531,8
532,115
533,240
534,220
535,76
536,8
537,117
538,241
539,220
540,77
541,8
542,115
543,240
544,222
545,77
546,8
547,115
548,240
549,222
550,79
551,8
552,115
553,240
554,222
555,79
556,8
557,115
558,224
559,222
560,79
561,8
562,114
563,237
564,222
565,79
566,8
567,114
568,236
569,222
570,81
571,8
572,114
573,237
574,222
575,81
576,8
577,113
578,240
579,223
580,81
581,8
582,113
583,240
584,223
585,82
586,8
587,112
588,240
589,223
590,82
591,8
592,109
593,237
594,224
595,82
596,8
597,109
598,237
599,224
600,82
601,8
602,109
603,237
604,224
605,82
606,8
607,107
608,235
609,222
610,85
611,8
612,107
613,235
614,222
615,85
616,8
617,107
618,233
619,226
620,82
621,8
622,107
623,233
624,226
625,82
626,8
627,105
628,234
629,223
630,89
631,8
632,105
633,233
634,224
635,86
636,8
637,105
638,233
639,226
640,85
641,8
642,104
643,235
644,224
645,89
646,8
647,102
648,235
649,224
650,89
651,8
652,102
653,234
654,224
655,89
656,8
657,102
658,234
659,224
660,89
661,8
662,101
663,233
664,227
665,89
666,7
667,101
668,233
669,227
670,89
671,8
672,101
673,233
674,230
675,93
676,7
677,101
678,233
679,230
680,93
681,7
682,98
683,229
684,230
685,64
686,8
687,98
688,229
689,229
690,96
691,7
692,98
693,230
694,224
695,96
696,7
697,98
698,230
699,224
700,98
701,8
702,96
703,230
704,233
705,98
706,8
707,96
708,230
709,233
710,98
711,8
712,64
713,230
714,233
715,98
716,8
717,93
718,230
719,233
720,101
721,7
722,93
723,230
724,233
725,98
726,8
727,93
728,227
729,230
730,101
731,8
732,93
733,227
734,230
735,101
736,7
737,92
738,227
739,230
740,102
741,7
742,91
743,224
744,233
745,102
