Index,Value
0,199
1,204
2,87
3,95
4,227
5,238
6,111
7,241
8,244
9,249
10,254
11,255
12,252
13,255
14,250
15,255
16,249
17,243
18,241
19,254
20,103
21,223
22,217
23,208
24,202
25,66
26,187
27,177
28,40
29,163
30,28
31,22
32,16
33,8
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,12
43,19
44,23
45,30
46,36
47,44
48,183
49,60
50,204
51,75
52,215
53,95
54,224
55,231
56,255
57,241
58,247
59,121
60,250
61,255
62,252
63,254
64,124
65,252
66,121
67,244
68,241
69,235
70,233
71,224
72,220
73,87
74,75
75,199
76,58
77,181
78,175
79,36
80,158
81,23
82,16
83,12
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,8
93,16
94,22
95,28
96,35
97,43
98,178
99,187
100,192
101,88
102,83
103,87
104,223
105,231
106,238
107,111
108,244
109,248
110,122
111,253
112,253
113,255
114,252
115,252
116,250
117,120
118,115
119,127
120,254
121,99
122,222
123,86
124,79
125,199
126,63
127,189
128,175
129,38
130,31
131,153
132,16
133,14
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,8
143,0
144,16
145,158
146,162
147,40
148,176
149,55
150,255
151,199
152,79
153,87
154,95
155,99
156,235
157,239
158,243
159,248
160,251
161,252
162,127
163,252
164,255
165,250
166,250
167,249
168,243
169,240
170,110
171,101
172,222
173,87
174,208
175,72
176,192
177,56
178,179
179,39
180,224
181,30
182,20
183,0
184,8
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,24
193,12
194,19
195,30
196,30
197,39
198,175
199,189
200,188
201,199
202,204
203,87
204,95
205,226
206,110
207,111
208,240
209,125
210,120
211,122
212,255
213,252
214,255
215,251
216,252
217,121
218,244
219,240
220,107
221,231
222,224
223,217
224,211
225,73
226,192
227,59
228,177
229,40
230,163
231,29
232,20
233,19
234,8
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,12
244,16
245,23
246,159
247,227
248,44
249,183
250,59
251,204
252,75
253,211
254,223
255,226
256,104
257,239
258,241
259,247
260,121
261,250
262,255
263,252
264,254
265,124
266,252
267,123
268,117
269,255
270,239
271,230
272,226
273,95
274,215
275,79
276,195
277,189
278,183
279,44
280,167
281,31
282,150
283,19
284,12
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,8
294,16
295,22
296,27
297,35
298,42
299,179
300,187
301,192
302,201
303,207
304,88
305,223
306,231
307,238
308,111
309,244
310,248
311,122
312,253
313,253
314,255
315,252
316,252
317,250
318,120
319,115
320,127
321,238
322,99
323,222
324,86
325,78
326,71
327,63
328,183
329,239
330,39
331,159
332,158
333,19
334,14
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,8
344,0
345,23
346,158
347,162
348,40
349,160
350,54
351,191
352,199
353,79
354,214
355,95
356,227
357,239
358,239
359,243
360,248
361,121
362,250
363,254
364,125
365,253
366,252
367,122
368,249
369,247
370,112
371,110
372,101
373,222
374,87
375,208
376,203
377,255
378,248
379,179
380,47
381,160
382,31
383,22
384,0
385,8
386,0
387,0
388,0
389,0
390,0
391,0
