Index,Value
0,230
1,164
2,84
3,20
4,0
5,32
6,102
7,181
8,237
9,255
10,230
11,164
12,85
13,22
14,0
15,32
16,102
17,181
18,233
19,255
20,230
21,164
22,85
23,22
24,0
25,32
26,102
27,181
28,235
29,255
30,230
31,165
32,85
33,22
34,0
35,32
36,102
37,181
38,235
39,255
40,230
41,165
42,85
43,22
44,0
45,34
46,101
47,179
48,232
49,255
50,230
51,166
52,85
53,22
54,0
55,34
56,96
57,179
58,232
59,255
60,230
61,166
62,85
63,22
64,0
65,34
66,96
67,179
68,232
69,255
70,230
71,166
72,85
73,22
74,0
75,34
76,96
77,179
78,232
79,255
80,230
81,166
82,85
83,22
84,0
85,34
86,96
87,179
88,232
89,255
90,230
91,166
92,85
93,22
94,0
95,34
96,96
97,179
98,232
99,255
100,230
101,166
102,86
103,22
104,0
105,34
106,96
107,178
108,233
109,255
110,230
111,166
112,86
113,16
114,0
115,34
116,96
117,178
118,233
119,255
120,230
121,168
122,86
123,16
124,0
125,34
126,98
127,175
128,237
129,255
130,230
131,168
132,86
133,16
134,0
135,34
136,96
137,178
138,233
139,255
140,230
141,168
142,86
143,16
144,0
145,34
146,96
147,178
148,233
149,255
150,230
151,168
152,80
153,16
154,0
155,34
156,98
157,175
158,237
159,255
160,230
161,168
162,88
163,16
164,0
165,34
166,98
167,175
168,237
169,255
170,230
171,168
172,88
173,16
174,0
175,34
176,98
177,175
178,237
179,255
180,230
181,169
182,88
183,16
184,0
185,32
186,100
187,177
188,237
189,255
190,230
191,170
192,85
193,16
194,0
195,32
196,96
197,177
198,237
199,255
200,224
201,170
202,84
203,25
204,0
205,32
206,96
207,177
208,237
209,255
210,224
211,170
212,86
213,25
214,0
215,32
216,98
217,173
218,235
219,255
220,224
221,170
222,86
223,25
224,0
225,33
226,98
227,173
228,235
229,255
230,224
231,170
232,85
233,25
234,0
235,33
236,98
237,173
238,235
239,255
240,224
241,170
242,85
243,25
244,0
245,33
246,98
247,172
248,235
249,255
250,224
251,170
252,85
253,25
254,0
255,33
256,98
257,172
258,235
259,255
260,233
261,170
262,85
263,25
264,0
265,33
266,98
267,174
268,235
269,255
270,233
271,170
272,85
273,25
274,0
275,32
276,98
277,174
278,235
279,255
280,233
281,170
282,88
283,25
284,0
285,32
286,98
287,174
288,235
289,255
290,233
291,170
292,89
293,25
294,0
295,32
296,98
297,174
298,235
299,255
300,233
301,170
302,89
303,25
304,0
305,0
306,98
307,173
308,235
309,254
310,233
311,170
312,89
313,25
314,0
315,0
316,98
317,173
318,235
319,254
320,233
321,170
322,89
323,25
324,0
325,0
326,98
327,173
328,235
329,254
330,233
331,170
332,89
333,25
334,0
335,31
336,98
337,173
338,235
339,254
340,233
341,172
342,90
343,25
344,0
345,31
346,98
347,173
348,234
349,254
350,233
351,170
352,88
353,25
354,0
355,31
356,98
357,172
358,234
359,254
360,233
361,170
362,88
363,25
364,0
365,31
366,98
367,172
368,234
369,254
370,233
371,170
372,89
373,25
374,0
375,31
376,96
377,174
378,234
379,254
380,233
381,170
382,89
383,25
384,0
385,31
386,96
387,174
388,234
389,254
390,233
391,170
392,88
393,25
394,0
395,31
396,96
397,174
398,234
399,254
400,233
401,170
402,88
403,25
404,0
405,31
406,96
407,174
408,234
409,254
410,233
411,170
412,88
413,25
414,0
415,31
416,96
417,174
418,232
419,255
420,233
421,170
422,90
423,25
424,0
425,31
426,96
427,174
428,232
429,255
430,233
431,170
432,90
433,25
434,0
435,30
436,96
437,173
438,233
439,255
440,232
441,170
442,90
443,25
444,0
445,30
446,96
447,173
448,233
449,255
450,234
451,170
452,88
453,25
454,0
455,30
456,96
457,173
458,233
459,255
460,234
461,170
462,88
463,27
464,0
465,30
466,64
467,173
468,233
469,255
470,234
471,170
472,88
473,27
474,0
475,30
476,64
477,172
478,233
479,255
480,234
481,170
482,88
483,27
484,0
485,30
486,64
487,172
488,233
489,255
490,234
491,170
492,88
493,27
494,0
495,30
496,64
497,172
498,233
499,255
500,235
501,170
502,88
503,27
504,0
505,30
506,92
507,172
508,233
509,255
510,235
511,170
512,92
513,25
514,0
515,30
516,92
517,172
518,233
519,255
520,235
521,170
522,92
523,27
524,0
525,30
526,92
527,170
528,230
529,255
530,235
531,170
532,92
533,24
534,0
535,30
536,93
537,170
538,230
539,255
540,235
541,170
542,92
543,27
544,0
545,30
546,93
547,170
548,230
549,255
550,235
551,170
552,92
553,24
554,0
555,30
556,93
557,170
558,230
559,255
560,235
561,173
562,93
563,28
564,0
565,28
566,93
567,170
568,230
569,255
570,235
571,173
572,64
573,28
574,0
575,28
576,92
577,169
578,233
579,255
580,235
581,174
582,96
583,28
584,0
585,28
586,92
587,168
588,233
589,255
590,235
591,174
592,96
593,30
594,0
595,28
596,92
597,168
598,233
599,255
600,235
601,174
602,96
603,30
604,0
605,28
606,92
607,168
608,233
609,255
610,235
611,174
612,96
613,30
614,0
615,28
616,92
617,168
618,233
619,255
620,235
621,174
622,96
623,30
624,0
625,24
626,92
627,160
