Index,Value
0,0
1,0
2,0
3,0
4,0
5,0
6,32
7,0
8,64
9,96
10,128
11,160
12,128
13,208
14,224
15,224
16,240
17,248
18,240
19,240
20,224
21,208
22,192
23,160
24,144
25,112
26,64
27,0
28,32
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,32
37,0
38,64
39,96
40,128
41,160
42,128
43,208
44,224
45,224
46,240
47,248
48,240
49,240
50,224
51,208
52,192
53,160
54,144
55,112
56,64
57,0
58,32
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,32
67,0
68,64
69,96
70,128
71,160
72,128
73,208
74,224
75,224
76,240
77,248
78,240
79,240
80,224
81,208
82,192
83,160
84,144
85,112
86,64
87,0
88,32
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,32
97,0
98,64
99,96
100,128
101,160
102,128
103,208
104,224
105,224
106,240
107,248
108,240
109,240
110,224
111,208
112,192
113,160
114,144
115,112
116,64
117,0
118,32
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,32
127,0
128,64
129,96
130,128
131,160
132,128
133,208
134,224
135,224
136,240
137,248
138,240
139,240
140,224
141,208
142,192
143,160
144,144
145,112
146,64
147,0
148,32
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,32
157,0
158,64
159,96
160,128
161,160
162,128
163,208
164,224
165,224
166,240
167,248
168,240
169,240
170,224
171,208
172,192
173,160
174,144
175,112
176,64
177,0
178,32
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,32
187,0
188,64
189,96
190,128
191,160
192,128
193,208
194,224
195,224
196,240
197,248
198,240
199,240
200,224
201,208
202,192
203,160
204,144
205,112
206,64
207,0
208,32
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,32
217,0
218,64
219,96
220,128
221,160
222,128
223,208
224,224
225,224
226,240
227,248
228,240
229,240
230,224
231,208
232,192
233,160
234,144
235,112
236,64
237,0
238,32
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,32
247,0
248,64
249,96
250,128
251,160
252,128
253,208
254,224
255,224
256,240
257,248
258,240
259,240
260,224
261,208
262,192
263,160
264,144
265,112
266,64
267,0
268,32
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,32
277,0
278,64
279,96
280,128
281,160
282,128
283,208
284,192
285,224
286,240
287,248
288,240
289,240
290,224
291,208
292,192
293,160
294,144
295,0
296,64
297,0
298,32
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,32
307,0
308,64
309,96
310,128
311,160
312,128
313,192
314,224
315,224
316,240
317,248
318,240
319,240
320,224
321,208
322,192
323,160
324,144
325,0
326,64
327,0
328,32
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,32
337,0
338,64
339,96
340,128
341,160
342,128
343,192
344,192
345,224
346,240
347,248
348,240
349,240
350,224
351,208
352,192
353,160
354,144
355,0
356,64
357,0
358,32
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,32
367,0
368,64
369,96
370,128
371,160
372,128
373,192
374,192
375,224
376,240
377,248
378,240
379,240
380,224
381,208
382,192
383,160
384,144
385,0
386,64
387,0
388,32
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,32
397,0
398,64
399,96
400,128
401,160
402,128
403,192
404,192
405,224
406,240
407,248
408,240
409,240
410,224
411,208
412,192
413,160
414,144
415,0
416,64
417,0
418,32
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,32
427,0
428,64
429,96
430,128
431,160
432,128
433,192
434,192
435,224
436,240
437,248
438,240
439,240
440,224
441,208
442,192
443,160
444,144
445,0
446,64
447,0
448,32
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,32
457,0
458,64
459,96
460,128
461,160
462,128
463,192
464,192
465,224
466,240
467,248
468,240
469,240
470,224
471,208
472,192
473,160
474,144
475,0
476,64
477,0
478,32
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,32
487,0
488,64
489,96
490,128
491,160
492,128
493,192
494,192
495,224
496,240
497,248
498,240
499,240
500,224
501,208
502,192
503,160
504,144
505,0
506,64
507,0
508,32
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,32
517,0
518,64
519,96
520,128
521,160
522,128
523,192
524,192
525,224
526,240
527,248
528,240
529,240
530,224
531,208
