Index,Value
0,70
1,4
2,115
3,241
4,219
5,72
6,4
7,114
8,241
9,219
10,73
11,4
12,114
13,241
14,220
15,74
16,4
17,114
18,241
19,222
20,74
21,4
22,109
23,241
24,222
25,77
26,4
27,112
28,241
29,222
30,77
31,4
32,109
33,241
34,222
35,79
36,4
37,107
38,240
39,224
40,79
41,4
42,107
43,240
44,224
45,79
46,4
47,107
48,240
49,224
50,79
51,4
52,107
53,237
54,224
55,79
56,4
57,105
58,240
59,226
60,79
61,4
62,105
63,240
64,226
65,79
66,4
67,105
68,238
69,226
70,79
71,4
72,105
73,240
74,227
75,81
76,4
77,104
78,240
79,227
80,81
81,4
82,102
83,240
84,227
85,81
86,3
87,101
88,238
89,228
90,82
91,3
92,101
93,237
94,228
95,85
96,3
97,101
98,237
99,228
100,85
101,3
102,101
103,237
104,230
105,86
106,3
107,98
108,235
109,227
110,84
111,3
112,98
113,233
114,228
115,86
116,3
117,98
118,233
119,230
120,89
121,3
122,96
123,237
124,230
125,89
126,3
127,98
128,234
129,227
130,86
131,3
132,98
133,233
134,230
135,90
136,3
137,96
138,235
139,230
140,92
141,3
142,96
143,235
144,228
145,92
146,3
147,93
148,235
149,230
150,92
151,3
152,93
153,233
154,224
155,93
156,2
157,93
158,233
159,233
160,93
161,3
162,93
163,224
164,234
165,92
166,2
167,92
168,230
169,235
170,92
171,2
172,92
173,233
174,235
175,93
176,2
177,91
178,230
179,235
180,96
181,3
182,89
183,233
184,237
185,98
186,2
187,89
188,224
189,237
190,98
191,3
192,89
193,224
194,237
195,98
196,2
197,89
198,230
199,237
200,98
201,3
202,88
203,230
204,237
205,100
206,3
207,86
208,230
209,237
210,101
211,3
212,86
213,230
214,238
215,101
216,3
217,85
218,230
219,240
220,102
221,3
222,85
223,228
224,238
225,102
226,3
227,84
228,228
229,240
230,102
231,3
232,83
233,226
234,235
235,102
236,3
237,83
238,224
239,240
240,105
241,3
242,82
243,224
244,240
245,105
246,3
247,82
248,224
249,240
250,105
251,3
252,81
253,227
254,237
255,107
256,3
257,79
258,226
259,237
260,107
261,3
262,79
263,226
264,237
265,107
266,3
267,79
268,224
269,240
270,107
271,3
272,79
273,224
274,241
275,107
276,3
277,77
278,224
279,241
280,109
281,3
282,77
283,224
284,242
285,107
286,4
287,79
288,224
289,242
290,107
291,4
292,77
293,223
294,242
295,107
296,4
297,77
298,222
299,242
300,109
301,4
302,76
303,222
304,242
305,109
306,4
307,74
308,219
309,241
310,114
311,4
312,73
313,222
314,244
315,114
316,4
317,74
318,219
319,241
320,114
321,4
322,74
323,217
324,244
325,115
326,4
327,73
328,222
329,244
330,115
331,4
332,73
333,221
334,244
335,115
336,4
337,73
338,220
339,245
340,117
341,4
342,72
343,219
344,242
345,115
346,4
347,72
348,219
349,242
350,117
351,4
352,70
353,219
354,242
355,116
356,4
357,70
358,219
359,244
360,121
361,4
362,70
363,217
364,245
365,121
366,4
367,69
368,215
369,245
370,121
371,4
372,69
373,215
374,247
375,123
376,4
377,68
378,215
379,247
380,124
381,4
382,68
383,215
384,247
385,125
386,4
387,68
388,215
389,247
390,125
391,4
392,65
393,215
394,249
395,125
396,4
397,65
398,215
399,249
400,125
401,5
402,65
403,215
404,249
405,127
406,6
407,65
408,215
409,249
410,127
411,6
412,65
413,214
414,247
415,128
416,6
417,63
418,213
419,247
420,130
421,6
422,63
423,212
424,247
425,130
426,6
427,63
428,212
429,247
430,132
431,6
432,61
433,212
434,247
435,132
436,6
437,61
438,212
439,247
440,133
441,6
442,61
443,209
444,249
445,133
446,6
447,60
448,209
449,249
450,133
451,6
452,60
453,207
454,249
455,133
456,7
457,60
458,205
459,249
460,133
461,7
462,59
463,203
464,249
465,134
466,7
467,59
468,203
469,247
470,137
471,7
472,58
473,203
474,247
475,138
476,7
477,58
478,203
479,249
480,138
481,7
482,56
483,205
484,250
485,133
486,7
487,56
488,205
489,250
490,128
491,8
492,54
493,203
494,249
495,140
496,8
497,54
498,203
499,249
500,141
501,8
502,54
503,203
504,249
505,140
506,8
507,53
508,203
509,249
510,142
511,8
512,53
513,201
514,249
515,141
516,8
517,53
518,201
519,249
520,141
521,8
522,52
523,199
524,254
525,144
526,11
527,49
528,201
529,254
530,145
531,11
532,48
533,201
534,254
535,145
536,11
537,47
538,199
539,254
540,147
541,10
542,47
543,197
544,254
545,147
546,11
547,46
548,197
549,254
550,147
551,11
552,46
553,197
554,254
555,148
556,12
557,47
558,197
559,254
560,148
561,12
562,47
563,197
564,254
565,148
566,12
567,47
568,196
569,254
570,149
571,12
572,46
573,196
574,254
575,150
576,14
577,46
578,195
579,254
580,151
581,14
582,46
583,195
584,254
585,151
586,15
587,46
588,193
589,255
590,154
591,14
592,46
593,193
594,255
595,154
596,14
597,44
598,193
599,255
600,154
601,13
602,44
603,189
604,255
605,154
606,15
607,44
608,188
609,255
610,154
611,15
612,44
613,188
614,255
615,155
616,15
617,44
618,188
619,255
620,155
621,15
622,42
623,188
624,255
625,158
626,17
627,41
628,188
629,255
630,158
631,17
632,41
633,188
634,255
635,158
636,19
637,38
638,188
639,255
640,159
641,19
642,38
643,188
644,254
645,160
646,19
647,38
648,186
649,255
650,160
651,19
652,38
653,186
654,255
655,161
656,19
657,38
658,186
659,255
660,162
661,19
662,32
663,186
664,255
665,164
666,19
667,32
668,182
669,255
670,164
671,19
672,34
673,181
674,255
675,164
676,19
677,34
678,179
679,254
680,164
681,20
682,32
683,182
684,255
685,164
686,21
687,34
688,179
689,254
690,164
691,21
692,32
693,182
694,255
695,166
696,22
697,32
698,178
699,254
700,166
701,22
702,34
703,175
704,255
705,166
706,16
707,34
708,175
709,255
710,168
711,16
712,34
713,174
714,255
715,169
716,16
717,34
718,175
719,255
720,170
721,22
722,33
723,178
724,255
725,170
726,22
727,33
728,177
729,255
730,170
731,25
732,33
733,175
734,255
735,170
736,25
737,31
738,175
739,255
740,172
741,25
742,30
743,174
744,255
745,173
746,25
747,30
748,174
749,255
750,173
751,25
752,30
753,174
754,255
755,174
756,27
757,27
758,170
759,255
760,174
761,27
762,27
763,169
764,255
765,174
766,28
767,30
768,172
769,255
770,175
771,29
772,28
773,170
774,255
775,175
776,30
777,28
778,170
779,254
780,175
781,30
782,27
783,168
784,255
785,177
786,30
787,27
788,164
789,255
790,178
791,29
792,25
793,166
794,255
795,178
796,30
797,25
798,165
799,255
800,179
801,30
802,25
803,164
804,255
805,179
806,30
807,25
808,164
809,255
810,181
811,31
812,25
813,164
814,255
815,182
816,32
817,25
