Index,Value
0,101
1,182
2,235
3,249
4,224
5,159
6,82
7,17
8,4
9,32
10,102
11,182
12,235
13,249
14,224
15,160
16,82
17,19
18,4
19,32
20,102
21,182
22,235
23,247
24,224
25,160
26,82
27,17
28,4
29,32
30,102
31,182
32,233
33,249
34,224
35,160
36,82
37,17
38,4
39,32
40,102
41,182
42,233
43,249
44,224
45,160
46,82
47,17
48,4
49,32
50,102
51,182
52,233
53,249
54,224
55,160
56,82
57,17
58,4
59,32
60,102
61,182
62,233
63,249
64,224
65,160
66,82
67,19
68,4
69,32
70,101
71,182
72,233
73,249
74,224
75,161
76,82
77,19
78,4
79,34
80,98
81,178
82,230
83,250
84,222
85,164
86,81
87,20
88,4
89,34
90,98
91,178
92,230
93,250
94,222
95,164
96,81
97,20
98,4
99,34
100,98
101,175
102,235
103,248
104,224
105,162
106,81
107,20
108,4
109,34
110,98
111,175
112,235
113,248
114,226
115,159
116,83
117,19
118,4
119,34
120,98
121,175
122,234
123,248
124,226
125,159
126,83
127,19
128,4
129,34
130,98
131,175
132,234
133,248
134,226
135,160
136,83
137,19
138,4
139,34
140,98
141,174
142,234
143,248
144,226
145,160
146,83
147,19
148,4
149,34
150,98
151,174
152,234
153,248
154,226
155,160
156,84
157,20
158,4
159,34
160,101
161,179
162,230
163,250
164,222
165,164
166,83
167,19
168,4
169,33
170,102
171,179
172,230
173,250
174,222
175,164
176,84
177,21
178,4
179,33
180,101
181,179
182,230
183,250
184,222
185,164
186,85
187,21
188,4
189,33
190,101
191,179
192,230
193,250
194,222
195,164
196,85
197,21
198,4
199,33
200,101
201,179
202,230
203,250
204,222
205,164
206,85
207,21
208,4
209,33
210,101
211,179
212,230
213,250
214,222
215,164
216,85
217,21
218,4
219,33
220,101
221,178
222,230
223,250
224,222
225,164
226,85
227,21
228,4
229,33
230,101
231,178
232,230
233,250
234,222
235,164
236,85
237,21
238,4
239,33
240,101
241,178
242,230
243,250
244,223
245,166
246,86
247,22
248,4
249,33
250,101
251,178
252,230
253,250
254,223
255,166
256,86
257,22
258,4
259,33
260,101
261,178
262,230
263,250
264,223
265,166
266,86
267,22
268,4
269,32
270,101
271,178
272,230
273,250
274,223
275,166
276,86
277,22
278,4
279,32
280,101
281,178
282,229
283,250
284,223
285,166
286,86
287,22
288,4
289,32
290,101
291,177
292,230
293,250
294,223
295,166
296,86
297,22
298,4
299,31
300,101
301,177
302,233
303,250
304,223
305,166
306,86
307,22
308,4
309,31
310,100
311,177
312,233
313,250
314,223
315,166
316,86
317,22
318,4
319,31
320,98
321,174
322,233
323,250
324,223
325,166
326,87
327,22
328,4
329,31
330,98
331,174
332,233
333,250
334,223
335,166
336,88
337,22
338,4
339,31
340,98
341,172
342,233
343,250
344,223
345,166
346,89
347,22
348,4
349,31
350,98
351,172
352,233
353,250
354,223
355,166
356,89
357,22
358,4
359,31
360,98
361,172
362,233
363,250
364,224
365,168
366,89
367,22
368,4
369,31
370,98
371,172
372,233
373,250
374,224
375,166
376,89
377,22
378,4
379,31
380,98
381,172
382,224
383,250
384,224
385,166
386,89
387,22
388,4
389,31
390,98
391,172
392,224
393,250
394,224
395,166
396,89
397,22
398,4
399,31
400,98
401,172
402,224
403,250
404,224
405,166
406,89
407,16
