Index,Value
0,109
1,138
2,161
3,188
4,209
5,223
6,240
7,245
8,249
9,249
10,244
11,233
12,219
13,197
14,161
15,154
16,121
17,98
18,72
19,50
20,28
21,0
22,0
23,0
24,0
25,0
26,16
27,41
28,61
29,86
30,109
31,138
32,161
33,188
34,209
35,223
36,240
37,245
38,249
39,249
40,242
41,230
42,219
43,196
44,177
45,154
46,121
47,98
48,72
49,50
50,28
51,0
52,0
53,0
54,0
55,0
56,16
57,41
58,61
59,85
60,105
61,138
62,160
63,188
64,209
65,223
66,240
67,245
68,249
69,249
70,242
71,230
72,219
73,197
74,177
75,154
76,123
77,96
78,74
79,47
80,31
81,0
82,0
83,0
84,0
85,0
86,16
87,33
88,61
89,85
90,107
91,133
92,161
93,188
94,209
95,223
96,240
97,245
98,249
99,249
100,242
101,230
102,219
103,196
104,177
105,154
106,123
107,96
108,74
109,47
110,0
111,0
112,0
113,0
114,0
115,0
116,16
117,33
118,61
119,85
120,107
121,133
122,161
123,188
124,209
125,223
126,240
127,245
128,249
129,249
130,242
131,230
132,219
133,197
134,177
135,154
136,123
137,96
138,74
139,47
140,0
141,0
142,0
143,0
144,0
145,0
146,16
147,39
148,60
149,85
150,107
151,133
152,160
153,188
154,209
155,224
156,237
157,245
158,249
159,249
160,242
161,230
162,219
163,199
164,178
165,150
166,125
167,101
168,72
169,52
170,30
171,16
172,0
173,0
174,0
175,0
176,16
177,39
178,60
179,85
180,107
181,133
182,160
183,186
184,203
185,222
186,240
187,245
188,249
189,249
190,242
191,230
192,219
193,199
194,178
195,150
196,125
197,101
198,72
199,52
200,30
201,16
202,0
203,0
204,0
205,0
206,16
207,39
208,60
209,85
210,107
211,133
212,160
213,186
214,203
215,222
216,238
217,245
218,249
219,249
220,242
221,230
222,219
223,199
224,178
225,151
226,125
227,101
228,73
229,52
230,30
231,16
232,0
233,0
234,0
235,0
236,22
237,38
238,60
239,85
240,107
241,133
242,160
243,186
244,203
245,222
246,237
247,245
248,249
249,249
250,242
251,224
252,220
253,201
254,177
255,154
256,123
257,98
258,73
259,52
260,30
261,16
262,0
263,0
264,0
265,0
266,22
267,38
268,60
269,84
270,107
271,133
272,160
273,186
274,203
275,222
276,237
277,245
278,249
279,249
280,242
281,224
282,220
283,201
284,177
285,154
286,125
287,101
288,73
289,52
290,30
291,16
292,0
