Index,Value
0,6
1,114
2,237
3,219
4,72
5,6
6,114
7,237
8,219
9,73
10,6
11,113
12,240
13,220
14,77
15,6
16,113
17,240
18,222
19,77
20,6
21,112
22,224
23,222
24,79
25,6
26,109
27,237
28,222
29,79
30,6
31,109
32,237
33,222
34,79
35,6
36,109
37,237
38,222
39,79
40,6
41,107
42,235
43,219
44,79
45,6
46,107
47,235
48,219
49,79
50,6
51,107
52,234
53,219
54,79
55,6
56,107
57,233
58,223
59,82
60,4
61,105
62,233
63,222
64,82
65,6
66,105
67,233
68,222
69,82
70,4
71,105
72,233
73,222
74,83
75,4
76,104
77,235
78,222
79,84
80,4
81,102
82,235
83,222
84,85
85,4
86,102
87,234
88,222
89,85
90,4
91,102
92,234
93,222
94,86
95,4
96,101
97,233
98,224
99,85
100,4
101,101
102,233
103,224
104,85
105,4
106,101
107,233
108,227
109,83
110,4
111,98
112,230
113,227
114,84
115,4
116,98
117,228
118,226
119,85
120,4
121,98
122,227
123,224
124,89
125,4
126,98
127,230
128,229
129,90
130,4
131,98
132,230
133,230
134,92
135,4
136,96
137,230
138,230
139,92
140,4
141,96
142,230
143,230
144,93
145,4
146,64
147,230
148,230
149,93
150,4
151,93
152,230
153,230
154,93
155,4
156,93
157,230
158,230
159,64
160,4
161,93
162,230
163,230
164,96
165,4
166,92
167,227
168,227
169,92
170,4
171,92
172,227
173,227
174,92
175,4
176,91
177,224
178,230
179,98
180,4
181,90
182,226
183,229
184,98
185,4
186,89
187,227
188,229
189,98
190,4
191,89
192,227
193,230
194,98
195,4
196,89
197,227
198,230
199,101
200,4
201,88
202,227
203,230
204,101
205,4
206,86
207,226
208,230
209,101
210,4
211,86
212,226
213,230
214,102
215,4
216,85
217,224
218,233
219,101
220,4
221,85
222,224
223,233
224,101
225,4
226,84
227,224
228,233
229,102
230,4
231,83
232,222
233,237
234,105
235,6
236,82
237,222
238,237
239,105
240,4
241,82
242,220
243,237
244,105
245,4
246,82
247,222
248,237
249,105
250,4
251,81
252,223
253,237
254,107
255,6
256,81
257,222
258,237
259,107
260,4
261,81
262,222
263,237
264,107
265,4
266,79
267,222
268,237
269,107
270,4
271,79
272,222
273,240
274,109
275,6
276,79
277,222
278,240
279,109
280,6
281,79
282,222
283,240
284,112
285,6
286,78
287,220
288,240
289,112
290,6
291,77
292,220
293,240
294,113
295,6
296,77
297,219
298,237
299,113
300,6
301,74
302,215
303,240
304,114
305,6
306,74
307,215
308,241
309,114
310,6
311,73
312,215
313,241
314,113
315,6
316,73
317,218
318,240
319,115
320,6
321,73
322,217
323,241
324,114
325,6
326,72
327,215
328,241
329,115
330,6
331,70
332,215
333,241
334,115
335,6
336,70
337,215
338,241
339,115
340,6
341,70
342,215
343,241
344,115
345,6
346,70
347,215
348,241
349,117
350,6
351,69
352,215
353,242
354,115
355,6
356,69
357,215
358,242
359,115
360,6
361,68
362,215
363,242
364,115
365,6
366,68
367,214
368,242
369,117
370,6
371,68
372,214
373,241
374,121
375,7
376,64
377,212
378,241
379,121
380,7
381,65
382,212
383,241
384,123
385,7
386,65
387,212
388,241
389,123
390,7
391,65
392,212
393,241
394,125
395,7
396,65
397,212
398,242
399,121
400,7
401,63
402,209
403,242
404,123
405,7
406,63
407,209
408,242
409,125
410,7
411,62
412,209
413,242
414,125
415,7
416,61
417,209
418,242
419,127
420,7
421,61
422,209
423,245
424,130
425,7
426,60
427,209
428,245
429,130
430,7
431,60
432,205
433,245
434,132
435,7
436,60
437,205
438,245
439,133
440,7
441,59
442,201
443,244
444,133
445,7
446,59
447,201
448,244
449,133
450,8
451,58
452,201
453,245
454,133
455,8
456,58
457,201
458,245
459,133
460,8
461,56
462,203
463,244
464,136
465,8
466,56
467,203
468,245
469,137
470,8
471,54
472,203
473,245
474,138
475,8
476,54
477,203
478,245
479,138
480,8
481,54
482,201
483,247
484,139
485,8
486,54
487,201
488,245
489,139
490,8
491,53
492,201
493,245
494,140
495,8
496,52
497,201
498,245
499,141
500,8
501,50
502,196
503,247
504,142
505,11
506,47
507,201
508,249
509,142
510,11
511,47
512,199
513,249
514,142
515,11
516,46
517,199
518,249
519,142
520,11
521,46
522,197
523,249
524,144
525,12
526,47
527,197
528,249
529,145
530,12
531,47
532,197
533,249
534,145
535,11
536,44
537,196
538,249
539,147
540,11
541,44
542,193
543,249
544,147
545,11
546,44
547,193
548,249
549,147
550,11
551,44
552,193
553,249
554,148
555,12
556,44
557,195
558,245
559,148
560,12
561,46
562,195
563,247
564,148
565,12
566,46
567,193
568,249
569,149
570,13
571,44
572,193
573,249
574,151
575,13
576,44
577,193
578,249
579,151
580,15
581,44
582,188
583,249
584,152
585,15
586,44
587,188
588,249
589,154
590,13
591,44
592,188
593,249
594,154
595,12
596,44
597,188
598,249
599,154
600,13
601,41
602,188
603,249
604,154
605,13
606,41
607,188
608,249
609,154
610,13
611,41
612,188
613,249
614,155
615,13
616,39
617,188
618,249
619,155
620,15
621,39
622,188
623,249
624,154
625,15
626,39
627,186
628,245
629,158
630,17
631,38
632,186
633,249
634,158
635,19
636,32
637,184
638,249
639,157
640,19
641,34
642,182
643,249
644,160
645,19
646,34
647,181
648,249
649,160
650,19
651,33
652,184
653,249
654,158
655,19
656,33
657,184
658,249
659,159
660,20
661,34
662,178
663,247
664,164
665,19
666,32
667,182
668,250
669,158
670,20
671,33
672,182
673,249
674,164
675,19
676,31
677,182
678,249
679,164
680,21
681,34
682,175
683,250
684,160
685,21
686,34
687,174
688,250
689,161
690,22
691,33
692,179
693,248
694,166
695,22
696,33
697,179
698,248
699,166
700,22
701,33
702,178
703,248
704,166
705,22
706,32
707,178
708,248
709,168
710,16
711,31
712,177
713,250
714,164
715,25
716,31
717,177
718,250
719,164
720,25
721,31
722,175
723,250
724,164
725,25
726,28
727,174
728,250
729,164
730,25
731,27
732,172
733,250
734,166
735,25
736,27
737,172
738,250
739,166
740,25
741,27
742,169
743,250
744,166
745,27
746,25
747,173
748,249
749,170
750,25
751,25
752,170
753,249
754,174
755,27
756,25
757,170
758,249
759,174
760,28
761,27
762,166
763,250
764,170
765,25
766,25
767,170
768,249
769,174
770,30
771,25
772,166
773,250
774,172
775,30
776,25
777,166
778,250
779,172
780,30
781,25
782,164
783,250
784,173
785,30
786,25
787,164
788,249
789,175
790,31
791,25
792,166
793,250
794,174
795,31
796,25
797,166
798,250
799,174
800,31
801,22
802,164
803,250
804,174
805,33
806,22
807,164
808,249
809,178
810,30
811,22
812,164
813,249
814,178
815,30
816,22
817,164
818,249
819,182
820,32
821,22
822,164
823,249
824,182
825,34
826,19
827,158
828,249
829,181
830,33
831,21
832,162
833,249
834,184
835,32
836,19
837,155
838,249
839,184
840,38
841,20
842,158
843,249
844,182
845,38
846,20
847,158
848,249
849,182
850,38
851,19
852,154
853,245
854,186
855,32
856,17
857,155
858,249
859,186
860,34
861,17
862,158
863,249
864,186
865,38
866,19
867,154
868,249
869,186
870,32
871,17
872,155
873,248
874,188
875,38
876,19
877,151
878,249
879,186
880,38
881,17
882,154
883,245
884,188
885,39
886,17
887,154
888,245
889,188
890,39
891,17
892,154
893,245
894,188
895,41
896,17
897,154
898,245
899,189
900,41
901,17
902,154
903,248
904,189
905,41
906,15
907,153
908,249
909,191
910,44
911,13
912,151
913,249
914,193
915,44
916,13
917,150
918,249
919,193
920,44
921,13
922,148
923,249
924,193
925,44
926,13
927,148
928,249
929,193
930,44
931,13
932,148
933,249
934,195
935,44
936,12
937,147
938,245
939,195
940,41
941,13
942,147
943,245
944,195
945,41
946,12
947,147
948,245
949,196
950,46
951,12
952,147
953,245
954,196
955,47
956,12
957,145
958,245
959,196
960,47
961,12
962,144
963,249
964,197
965,49
966,12
967,142
968,249
969,197
970,49
971,12
972,142
973,249
974,197
975,49
976,11
977,139
978,245
979,197
980,50
981,10
982,138
983,245
984,199
985,50
986,8
987,140
988,247
989,201
990,52
991,11
992,137
993,247
994,201
995,52
996,11
997,136
998,247
999,201
1000,50
1001,8
1002,140
1003,245
1004,201
1005,50
1006,8
1007,139
1008,245
1009,201
1010,52
1011,8
1012,136
1013,245
1014,201
1015,52
1016,8
1017,134
1018,245
1019,203
1020,52
1021,8
1022,138
1023,244
1024,203
1025,53
1026,8
1027,137
1028,245
1029,203
1030,53
1031,8
1032,136
1033,245
1034,203
1035,53
1036,8
1037,133
1038,245
1039,203
1040,54
1041,8
1042,133
1043,245
1044,205
1045,56
1046,8
1047,133
1048,245
1049,205
1050,58
1051,7
1052,133
1053,245
1054,205
1055,59
1056,7
1057,133
1058,245
1059,207
1060,59
1061,7
1062,132
1063,242
1064,203
1065,58
1066,7
1067,130
1068,241
1069,205
1070,60
1071,7
1072,130
1073,241
1074,205
1075,60
1076,7
1077,130
1078,241
1079,207
1080,61
1081,7
1082,128
1083,244
1084,209
1085,60
1086,7
1087,128
1088,244
1089,209
1090,60
1091,7
1092,127
1093,243
1094,209
1095,63
1096,7
1097,127
1098,242
1099,209
1100,61
1101,7
1102,125
1103,242
1104,209
1105,61
1106,7
1107,125
1108,242
1109,207
1110,65
1111,7
1112,125
1113,242
1114,209
1115,65
1116,7
1117,125
1118,242
1119,209
1120,65
1121,7
1122,123
1123,241
1124,212
1125,65
1126,7
1127,123
1128,240
1129,214
1130,68
1131,7
1132,123
1133,240
1134,215
1135,68
1136,6
1137,121
1138,241
1139,215
1140,68
1141,6
1142,121
1143,241
1144,213
1145,64
1146,6
1147,121
1148,241
1149,214
1150,69
1151,6
1152,120
1153,241
1154,215
1155,70
1156,6
1157,119
1158,241
1159,215
1160,70
1161,6
1162,117
1163,241
1164,215
1165,70
1166,6
1167,115
1168,240
1169,217
1170,70
1171,6
1172,115
1173,224
1174,217
1175,72
1176,6
1177,115
1178,237
1179,217
1180,73
1181,6
1182,115
1183,237
1184,219
1185,70
1186,6
1187,114
1188,237
1189,219
1190,70
1191,6
1192,114
1193,237
1194,219
1195,72
1196,6
1197,114
1198,235
1199,215
1200,74
1201,6
1202,113
1203,240
1204,220
1205,76
1206,6
1207,113
1208,240
1209,222
1210,77
1211,6
1212,112
1213,240
1214,222
1215,78
1216,6
1217,111
1218,237
1219,222
1220,79
1221,6
1222,109
1223,237
1224,222
1225,79
1226,6
1227,109
1228,237
1229,222
1230,79
1231,6
1232,109
1233,237
1234,222
1235,79
1236,6
1237,107
1238,235
1239,219
1240,77
1241,4
1242,107
1243,234
1244,219
1245,79
1246,6
1247,107
1248,233
1249,223
1250,81
1251,6
1252,105
1253,234
1254,220
1255,82
1256,4
1257,105
1258,233
1259,222
1260,82
1261,4
1262,105
1263,233
1264,222
1265,83
1266,4
1267,105
1268,233
1269,223
1270,83
1271,4
1272,102
1273,235
1274,222
1275,85
1276,4
1277,102
1278,234
1279,222
1280,85
1281,4
1282,102
1283,234
1284,222
1285,86
1286,4
1287,101
1288,233
1289,224
1290,85
1291,4
1292,101
1293,233
1294,224
1295,85
1296,4
1297,101
1298,233
1299,227
1300,83
1301,4
1302,100
1303,233
1304,227
1305,83
1306,4
1307,98
1308,228
1309,226
1310,85
1311,4
1312,98
1313,227
1314,224
1315,89
1316,4
1317,98
1318,230
1319,229
1320,90
1321,4
1322,98
1323,230
1324,230
1325,92
1326,4
1327,96
1328,230
1329,230
1330,92
1331,4
1332,96
1333,230
1334,230
1335,93
1336,4
1337,64
1338,230
1339,230
1340,93
1341,4
1342,93
1343,230
1344,230
1345,93
1346,4
1347,93
1348,230
1349,230
1350,93
1351,4
1352,93
1353,230
1354,230
1355,96
1356,4
1357,92
1358,227
1359,227
1360,92
1361,4
1362,92
1363,227
1364,227
1365,92
1366,4
1367,91
1368,224
1369,230
1370,98
1371,4
1372,90
1373,226
1374,229
1375,98
1376,4
1377,89
1378,227
1379,229
1380,98
1381,4
1382,89
1383,227
1384,230
1385,98
1386,4
1387,89
1388,227
1389,230
1390,101
1391,4
1392,88
1393,227
1394,230
1395,101
1396,4
1397,86
1398,226
1399,230
1400,101
1401,4
1402,86
1403,226
1404,230
1405,101
1406,4
1407,85
1408,224
1409,233
1410,101
1411,4
1412,85
1413,224
1414,233
1415,101
1416,4
1417,85
1418,224
1419,233
1420,101
1421,4
1422,83
1423,222
1424,237
1425,105
1426,4
1427,82
1428,222
1429,237
1430,105
1431,4
1432,82
1433,220
1434,237
1435,105
1436,4
1437,82
1438,222
1439,237
1440,105
1441,4
1442,81
1443,223
1444,237
1445,107
1446,6
1447,81
1448,222
1449,237
1450,107
1451,4
1452,81
1453,222
1454,237
1455,107
1456,4
1457,79
1458,222
1459,238
1460,109
1461,4
1462,79
1463,222
1464,240
1465,109
1466,6
1467,79
1468,222
1469,240
1470,109
1471,6
1472,79
1473,222
1474,240
1475,112
1476,6
1477,77
1478,220
1479,240
1480,112
1481,6
1482,77
1483,220
1484,240
1485,113
1486,6
1487,77
1488,219
1489,237
1490,113
1491,6
1492,74
1493,215
1494,241
1495,114
1496,6
1497,74
1498,215
1499,241
1500,114
1501,6
1502,73
1503,215
1504,241
1505,115
1506,6
1507,73
1508,218
1509,240
1510,115
1511,6
1512,73
1513,217
1514,241
1515,114
1516,6
1517,72
1518,215
1519,241
1520,115
1521,6
1522,72
1523,215
1524,241
1525,115
1526,6
1527,70
1528,215
1529,241
1530,115
1531,6
1532,70
1533,215
1534,241
1535,115
1536,6
1537,70
1538,215
1539,241
1540,117
1541,6
1542,69
1543,215
1544,241
1545,117
1546,6
1547,69
1548,215
1549,242
1550,115
1551,6
1552,68
1553,215
1554,242
1555,115
1556,6
1557,68
1558,215
1559,242
1560,117
1561,6
1562,68
1563,214
1564,241
1565,121
1566,7
1567,64
1568,212
1569,241
1570,121
1571,7
