Index,Value
0,79
1,79
2,82
3,72
4,79
5,79
6,79
7,79
8,79
9,79
10,79
11,81
12,81
13,81
14,79
15,79
16,79
17,79
18,79
19,79
20,79
21,79
22,79
23,79
24,79
25,79
26,79
27,79
28,79
29,79
30,79
31,79
32,79
33,81
34,79
35,79
36,79
37,79
38,79
39,79
40,79
41,79
42,79
43,79
44,79
45,79
46,79
47,79
48,81
49,79
50,79
51,79
52,79
53,79
54,79
55,79
56,79
57,79
58,79
59,79
60,79
61,79
62,79
63,81
64,79
65,79
66,79
67,79
68,79
69,79
70,79
71,79
72,79
73,79
74,79
75,79
76,79
77,79
78,81
79,79
80,79
81,79
82,79
83,79
84,79
85,79
86,79
87,79
88,79
89,79
90,79
91,79
92,79
93,81
94,79
95,79
96,79
97,79
98,79
99,79
100,79
101,79
102,79
103,79
104,79
105,79
106,79
107,79
108,82
109,72
110,79
111,79
112,79
113,79
114,79
115,79
116,79
117,79
118,79
119,79
120,79
121,79
122,79
123,81
124,79
125,79
126,79
127,79
128,79
129,79
130,81
131,79
132,79
133,81
134,79
135,81
136,79
137,81
138,81
139,81
140,79
141,79
142,79
143,79
144,81
145,81
146,81
147,81
148,81
149,81
150,81
151,81
152,81
153,81
154,81
155,79
156,79
157,79
158,79
159,79
160,81
161,81
162,81
163,81
164,81
165,81
166,81
167,81
168,81
169,81
170,81
171,79
172,79
173,79
174,79
175,79
176,79
177,79
178,81
179,81
180,81
181,81
182,81
183,81
184,81
185,79
186,79
187,81
188,81
189,81
190,81
191,81
192,81
193,81
194,81
195,81
196,82
197,79
198,81
199,82
200,79
201,81
202,81
203,81
204,81
205,81
206,81
207,81
208,81
209,81
210,81
211,81
212,82
213,79
214,82
215,79
216,81
217,81
218,81
219,81
220,81
221,82
222,79
223,82
224,72
225,81
226,81
227,81
228,81
229,81
230,79
231,81
232,81
233,81
234,81
235,81
236,81
237,81
238,82
239,79
240,82
241,79
242,82
243,79
244,82
245,74
246,79
247,81
248,81
249,81
250,81
251,81
252,82
253,79
254,82
255,79
256,82
257,79
258,82
259,79
260,81
261,82
262,79
263,81
264,81
265,81
266,81
267,82
268,79
269,82
270,79
271,82
272,79
273,82
274,79
275,82
276,79
277,82
278,79
279,81
280,81
281,81
282,81
283,81
284,81
285,81
286,81
287,82
288,79
289,82
290,79
291,82
292,79
293,82
294,79
295,82
296,79
297,82
298,79
299,82
300,79
301,82
302,72
303,85
304,82
305,79
306,82
307,79
308,82
309,79
310,82
311,79
312,82
313,79
314,82
315,79
316,82
317,72
318,85
319,82
320,79
321,82
322,79
323,82
324,79
325,82
326,79
327,81
328,79
329,81
330,81
331,81
332,81
333,82
334,79
335,81
336,82
337,79
338,82
339,79
340,82
341,72
342,82
343,79
344,82
345,79
346,82
347,79
348,83
349,79
350,82
351,79
352,82
353,79
354,82
355,79
356,82
357,79
358,82
359,72
360,82
361,72
362,82
363,81
364,82
365,72
366,82
367,79
368,82
369,79
370,82
371,79
372,82
373,79
374,82
375,72
376,82
377,81
378,82
379,81
380,81
381,81
382,81
383,81
384,81
385,81
386,81
387,82
388,79
389,82
390,79
391,82
392,79
393,82
394,74
395,79
396,82
397,79
398,82
399,79
400,82
401,79
402,82
403,79
404,82
405,79
406,82
407,81
408,82
409,79
410,82
411,79
412,82
413,79
414,82
415,79
416,82
417,79
418,82
419,79
420,82
421,79
422,82
423,79
424,81
425,81
426,81
427,81
428,82
429,79
430,82
431,79
432,81
433,81
434,81
435,79
436,81
437,81
438,79
439,81
440,81
441,81
442,81
443,81
444,81
445,81
446,81
447,81
448,82
449,79
450,82
451,79
452,82
453,79
454,81
455,81
456,81
457,81
458,81
459,81
460,81
461,81
462,81
463,81
464,81
465,81
466,82
467,79
468,81
469,81
470,81
471,81
472,81
473,81
474,81
475,81
476,81
477,81
478,81
479,81
480,81
481,81
482,81
483,79
484,82
485,79
486,79
487,79
488,79
489,79
490,79
491,79
492,79
493,79
494,79
495,81
496,79
497,79
498,79
499,79
500,79
501,79
502,79
503,79
504,79
505,79
506,81
507,81
508,81
509,81
510,81
511,79
512,79
513,79
514,79
515,79
516,79
517,79
518,79
519,79
520,79
521,79
522,79
523,79
524,81
525,79
526,79
527,79
528,79
529,81
530,79
531,79
532,82
533,70
534,73
535,73
536,74
537,70
538,72
539,79
540,79
541,77
542,77
543,79
544,79
545,79
546,79
547,79
548,79
549,79
550,79
551,79
552,79
553,79
554,79
555,79
556,79
557,79
558,79
559,79
560,79
561,79
562,79
563,79
564,79
565,79
566,79
567,79
568,79
569,79
570,79
571,79
572,79
573,79
574,79
575,79
576,79
577,79
578,79
579,79
580,79
581,79
582,79
583,79
584,79
585,72
586,72
587,77
588,72
589,77
590,79
591,81
592,79
593,79
594,72
595,73
596,73
597,70
598,73
599,73
600,73
601,73
602,74
603,70
604,72
605,72
606,77
607,72
608,72
609,72
610,72
611,79
612,72
613,74
614,70
615,74
616,70
617,72
618,72
619,74
620,70
621,72
622,72
623,74
624,70
625,79
626,74
627,70
628,73
629,73
630,73
631,73
632,73
633,73
634,73
635,77
636,74
637,73
638,79
639,73
640,70
641,70
642,70
643,70
644,70
645,70
646,70
647,70
648,73
649,73
650,73
651,73
652,73
653,73
654,73
655,73
656,73
657,73
658,73
659,73
660,73
661,73
662,73
663,73
664,73
665,73
666,73
667,72
668,73
669,70
670,70
671,70
672,70
673,70
674,70
675,70
676,70
677,70
678,70
679,70
680,70
681,70
682,73
683,70
684,70
685,70
686,70
687,70
688,73
689,70
690,73
691,73
692,70
693,70
694,69
695,69
696,70
697,69
698,69
699,69
700,69
701,70
702,70
703,70
704,70
705,70
706,70
707,70
708,70
709,70
710,70
711,70
712,70
713,70
714,69
715,69
716,69
717,69
718,70
719,69
720,69
721,69
722,69
723,69
724,70
725,69
726,69
727,68
728,69
729,69
730,69
731,69
732,69
