Index,Value
0,0
1,0
2,255
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,4
35,0
36,4
37,0
38,4
39,0
40,4
41,1
42,4
43,0
44,4
45,1
46,4
47,0
48,4
49,0
50,4
51,0
52,4
53,0
54,4
55,0
56,4
57,4
58,0
59,4
60,4
61,0
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,0
89,6
90,4
91,4
92,4
93,0
94,6
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,7
141,7
142,6
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,1
170,8
171,6
172,8
173,8
174,7
175,8
176,8
177,7
178,8
179,8
180,7
181,8
182,8
183,7
184,8
185,8
186,7
187,8
188,8
189,8
190,7
191,8
192,7
193,8
194,7
195,8
196,8
197,12
198,12
199,12
200,12
201,12
202,12
203,12
204,12
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,12
219,13
220,13
221,15
222,15
223,15
224,15
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,15
233,15
234,12
235,15
236,15
237,15
238,15
239,12
240,15
241,15
242,12
243,15
244,17
245,12
246,15
247,12
248,15
249,19
250,8
251,15
252,12
253,15
254,19
255,8
256,17
257,13
258,17
259,12
260,17
261,15
262,19
263,8
264,12
265,19
266,8
267,15
268,19
269,8
270,15
271,19
272,8
273,15
274,19
275,8
276,15
277,20
278,12
279,19
280,8
281,19
282,12
283,19
284,12
285,19
286,12
287,20
288,15
289,20
290,15
291,20
292,15
293,20
294,15
295,20
296,15
297,21
298,15
299,21
300,15
301,21
302,15
303,21
304,15
305,21
306,15
307,22
308,15
309,21
310,15
311,22
312,15
313,22
314,19
315,15
316,21
317,15
318,22
319,19
320,15
321,16
322,21
323,17
324,19
325,15
326,16
327,21
328,17
329,20
330,19
331,15
332,16
333,21
334,19
335,15
336,16
337,22
338,19
339,15
340,16
341,20
342,19
343,15
344,16
345,20
346,19
347,1
348,20
349,19
350,17
351,20
352,19
353,17
354,21
355,19
356,17
357,21
358,16
359,22
360,20
361,20
362,20
363,20
364,20
365,20
366,20
367,20
368,20
369,20
370,20
371,20
372,20
373,20
374,20
375,20
376,20
377,20
378,21
379,21
380,20
381,21
382,21
383,21
384,21
385,21
386,20
387,21
388,21
389,21
390,22
391,22
392,16
393,16
394,25
395,16
396,25
397,16
398,25
399,16
400,25
401,16
402,16
403,16
404,16
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,16
416,16
417,25
418,16
419,25
420,16
421,25
422,16
423,25
424,25
425,25
426,25
427,25
428,25
429,25
430,25
431,25
432,25
433,25
434,25
435,25
436,25
437,25
438,25
439,25
440,25
441,25
442,25
443,31
444,31
445,31
446,31
447,31
448,31
449,33
450,1
451,31
452,33
453,33
454,33
455,33
456,33
457,33
458,33
459,33
460,33
461,33
462,33
463,34
464,30
465,34
466,30
467,34
468,30
469,34
470,30
471,34
472,30
473,34
474,30
475,34
476,30
477,34
478,30
479,34
480,30
481,34
482,30
483,34
484,30
485,34
486,30
487,34
488,31
489,34
490,25
491,31
492,34
493,25
494,34
495,25
496,34
497,31
498,34
499,30
500,34
501,30
502,34
503,30
504,34
505,30
506,34
507,30
508,34
509,30
510,34
511,30
512,34
513,30
514,34
515,30
516,34
517,30
518,34
519,31
520,34
521,31
522,34
523,31
524,34
525,31
526,34
527,31
528,34
529,31
530,34
531,31
